Target return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
0.055,0.0533872,0.0317097,-0.0259642,-0.019343,0.0248389,0.0300584,0.0321249,0.0460717,-0.0158238,-0.0274526,0.0513663,0.0129868,-0.00197892,0.0350218,0.0521835,-0.0138453,-0.0281394,0.00285079,-0.0191482,0.0742979,-0.0367871,-0.0441638,-0.0797072,0.0252107,-0.00888772,0.0309881,-0.00702426,-0.0239411,0.0150167,0.00303394,0.014576,-0.00162248,0.0360272,-0.00816035,0.0211816,-0.0225922,0.0200242,0.0403383,0.0442352,-0.00412751,0.0294827,0.0422317,-0.00178778,0.03921,0.00449011,-0.00559415,-0.0575041,-0.00304209,0.0871504,0.073923,
0.06,0.0580283,0.0341929,-0.0293482,-0.0183727,0.02693,0.0200354,0.0347745,0.0513945,-0.0177193,-0.0306741,0.0556488,0.0134826,-0.00270813,0.0382015,0.0550323,-0.0148175,-0.0304274,0.00386357,-0.0231714,0.0816008,-0.0382401,-0.0471975,-0.0878281,0.0204353,-0.00919119,0.0337048,-0.00814061,-0.025885,0.0161772,0.00254864,0.0160353,-0.00167317,0.0368357,0.00390739,0.0226061,-0.0250447,0.0221515,0.0285972,0.0463023,-0.00436347,0.0320959,0.0464875,-0.00236441,0.0429226,0.00537529,-0.00603629,-0.0627954,-0.00363988,0.0949371,0.0798968,
0.065,0.0626707,0.0366761,-0.032738,-0.0200092,0.0280622,0.022226,0.0380194,0.0534741,-0.0196154,-0.0338966,0.0599313,0.0139758,-0.00344234,0.0413693,0.0793983,-0.0157894,-0.0327144,0.00487615,-0.0255738,0.0875282,-0.0334345,-0.0516634,-0.0959493,0.0221943,-0.00897901,0.0364215,-0.00924338,-0.0278307,0.0173374,0.00206205,0.0174935,-0.00379003,0.0402491,0.00638698,0.0225162,-0.0274984,0.0230334,0.0301736,0.0502449,-0.00459796,0.0347097,0.0507432,-0.00294096,0.0466342,0.0190951,-0.00682283,-0.0680844,-0.0042394,0.102723,0.0801118,
0.07,0.0681121,0.0395131,-0.0355622,-0.0216481,0.0297481,0.0244174,0.0406816,0.0571591,-0.0215117,-0.0431009,0.0642138,0.0144668,-0.00418069,0.0360676,0.0862364,-0.016761,-0.0329585,0.00588855,-0.027974,0.0839651,-0.0269244,-0.0561292,-0.107217,0.0163703,-0.00932202,0.039138,-0.0190531,-0.0297779,0.0184979,0.00534865,0.0189508,-0.00432609,0.0436619,0.0069233,0.0238409,-0.0299528,0.0251368,0.0318038,0.0541951,-0.00483141,0.037324,0.054999,-0.00351743,0.0357439,0.021011,-0.00734442,-0.083938,-0.00484024,0.110509,0.0856792,
0.075,0.0728224,0.0420152,-0.0388708,-0.0232858,0.0314238,0.0266076,0.0433433,0.0608358,-0.0234085,-0.0466773,0.0904035,0.0136686,-0.00492251,0.0389106,0.0927964,-0.0205206,-0.0351027,0.00690081,-0.0522337,0.0904133,1.12731e-05,-0.0605949,-0.116101,0.0177707,-0.0069999,0.0359538,-0.0207683,-0.0317262,0.0196573,0.00516741,0.020716,-0.00475692,0.0470752,0.0158701,0.0251696,-0.0354264,0.0305064,0.0334825,0.0671627,-0.00276581,0.0399388,0.0592549,-0.00409385,0.0384622,0.0229272,-0.0078648,-0.0900863,-0.0054421,0.118294,0.0912422,
0.08,0.0775328,0.0445174,-0.0478977,-0.0249237,0.0331035,0.0287988,0.0393067,0.0548574,-0.0319559,-0.0502536,0.0962959,0.0141974,-0.00566723,0.0418177,0.0991336,-0.0216585,-0.0372466,0.00791294,-0.0559929,0.0809704,0.0258631,-0.0650606,-0.124491,0.0190867,-0.00717343,0.0379176,-0.022477,-0.045956,0.0158315,0.00227689,0.0221246,-0.00518227,0.0504883,0.00799138,0.0264697,-0.0380892,0.0328298,0.034506,0.0666391,-0.00289129,0.0470506,0.067609,-0.00672226,0.0411798,0.0248437,-0.00838418,-0.0962342,-0.00970959,0.126079,0.0968016,
0.085,0.0822432,0.0470195,-0.0561181,-0.0231502,0.0420668,0.0309891,0.0416303,0.0579523,-0.0342111,-0.0538299,0.102187,0.0147273,0.00353239,0.0447908,0.085819,-0.0227965,-0.0393905,-0.00846705,-0.0597523,0.0862942,0.0297616,-0.0700448,-0.132865,0.00384291,-0.00730117,0.0403971,-0.0241847,-0.048608,0.0166985,0.00198594,0.0216301,-0.00560629,0.0539029,0.0182265,0.0345325,-0.0407002,0.0351531,0.036565,0.0763122,-0.00301962,0.0498924,0.0721253,0.000556025,0.043897,0.0267603,-0.00890273,-0.104435,-0.0105146,0.144375,0.102358,
0.09,0.091604,0.0495217,-0.0601002,-0.0245682,0.0441897,0.0331796,0.0388642,0.0610487,-0.0422981,-0.0574061,0.108078,0.0237691,0.00321446,0.0478283,0.11128,-0.0239347,-0.0406791,0.00993687,-0.0635119,0.0916234,0.0339026,-0.0745708,-0.141244,0.0127479,-0.00745325,0.0429128,-0.0301712,-0.0512609,0.0131914,0.00169422,0.0228568,-0.0060299,0.0620608,0.0194044,0.0362598,-0.0433771,0.0266424,0.0361551,0.0752044,-0.00314436,0.0561053,0.0766408,0.000239576,0.0466138,0.0286771,-0.00942059,-0.110727,-0.0113195,0.164222,0.107912,
0.095,0.0965915,0.0520238,-0.0732063,-0.025986,0.0463142,0.0353709,0.0462716,0.0641467,-0.0450312,-0.0656294,0.113968,0.0247249,0.00289715,0.0509263,0.116932,-0.0250731,-0.0427832,0.0109487,-0.107634,0.0969534,0.0376496,-0.0793507,-0.156311,-0.00523006,-0.00402668,0.0454046,-0.0472067,-0.0726671,0.0138995,0.0014019,0.0240845,-0.0128644,0.0657691,0.0205822,0.0379873,-0.0460213,0.0283623,0.037798,0.0794868,-0.00327092,0.0590998,0.0811559,-7.63902e-05,0.0493302,0.0442542,0.00539453,-0.117019,-0.0121245,0.1612,0.113464,
0.1,0.106717,0.0333534,-0.0680644,-0.0274038,0.0484402,0.0312289,0.0429395,0.0672464,-0.0508037,-0.0694506,0.142863,0.0256789,0.00258042,0.054079,0.122609,-0.0262115,-0.0448874,-0.0083542,-0.113542,0.102276,0.0425581,-0.0839733,-0.164967,-0.00550457,-0.00108365,0.0478994,-0.0335697,-0.0762832,0.0146057,0.00111018,0.0217508,-0.0134487,0.0694773,0.02176,0.0397148,-0.0486656,0.030082,0.0394565,0.083769,0.00531163,0.0620945,0.0950643,-0.000392325,0.0520464,0.046908,0.0056305,-0.123312,-0.0120715,0.182267,0.115559,
