Target return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
0.005,0.00717838,0.00635111,0.00662838,-0.00107777,0.00498838,-0.000364051,0.011696,0.00836897,-0.00271495,0.00522188,0.00734621,0.00390861,0.00162695,-0.000541856,0.00356007,-0.0065392,-0.00124253,-0.0023392,-0.00103825,0.016566,-0.0177965,0.000107764,0.00321092,0.00478309,-0.00120374,0.000895345,0.00412865,0.00356049,0.00259537,0.00241032,0.00121931,0.00323979,-0.000383029,0.00127471,0.00576496,0.0023082,-8.15901e-05,0.0102575,0.0043257,-0.000278448,0.00373921,0.000591468,0.00348738,-0.000119171,-0.00337978,0.00939495,0.00628871,0.000175221,0.00139109,0.0106304,
0.01,0.0100487,0.00967412,0.00368082,-0.00150575,0.0075038,0.00332646,0.0107332,0.0127404,-0.00528778,0.00457958,0.0111105,0.00250657,0.000200602,0.00298768,0.00924408,-0.0071836,-0.000810752,0.00113758,8.40373e-05,0.0144669,-0.0226944,-0.00280438,-0.00307443,0.0064622,-0.001724,0.00373776,0.00368335,0.00297234,0.00401291,0.000387366,0.00346278,0.00286147,0.00294801,0.000227896,0.00656864,0.000750057,0.00162693,0.0156265,0.00844675,0.000243958,0.00573014,0.00542239,0.00287003,0.0031883,-0.00417905,0.010886,-0.000263631,-0.00229986,0.00634658,0.0167265,
0.015,0.0139258,0.0125853,-0.00209809,-0.00195719,0.0100075,0.00698223,0.0142601,0.0164658,-0.00774617,0.00326888,0.0148642,0.00114373,-0.00121495,0.00654287,0.0150238,-0.00828284,-0.00808818,-0.00124254,0.00351357,0.0202337,-0.0247538,-0.00607307,-0.00939252,0.00850629,-0.000404414,0.0066147,0.00388388,-0.000460897,0.00548179,0.00210089,0.00572068,0.00262967,0.00698677,0.00107916,0.00717639,0.00215758,0.00126684,0.016729,0.0124296,0.000675087,0.00773142,0.0101785,0.0023328,0.00560905,-0.00324926,0.0136729,-0.00219155,-0.00244731,0.0113202,0.023192,
0.02,0.0160364,0.0148603,-0.00631833,-0.00539513,0.0125939,0.0106579,0.0179813,0.0201772,-0.00669062,0.00196853,0.0186256,-0.000207711,-0.00263698,0.0101108,0.0208778,-0.00984711,-0.0094842,0.0041022,0.00625626,0.0234687,-0.0272758,-0.0094953,-0.0157947,0.0105479,-0.00153611,0.0108311,0.00362866,-0.00140554,0.00592494,0.00104499,0.00799555,0.000755815,0.0105922,0.000697388,0.0077594,0.00130764,0.00254379,0.0207266,0.0165548,-0.00154008,0.00925983,0.0129854,0.00254153,0.00811442,-0.00237977,0.0164339,-0.00424404,-0.00270801,0.0162403,0.0296667,
0.025,0.0190117,0.0176309,-0.0105805,-0.00707124,0.0131312,0.0127835,0.0217419,0.023858,-0.00891831,0.000673806,0.0223916,-0.00155371,-0.00406468,0.0136827,0.026757,-0.0110681,-0.0109444,0.00217189,-0.00240595,0.0360935,-0.0295086,-0.0130505,-0.0235976,0.0127923,-0.00101436,0.0134363,0.00179378,-0.00235246,0.00478257,9.03538e-06,0.00487751,4.45068e-05,0.0148651,0.000323783,0.00830912,0.0005132,0.00383926,0.0247563,0.0200458,-0.00150841,0.0112358,0.0175024,0.00205116,0.0162397,-0.00154264,0.0019072,-0.00635723,-0.00138596,0.0180892,0.0304129,
0.03,0.0313854,0.0236975,-0.0148674,-0.00874652,0.0149885,0.0162456,0.0174203,0.0275257,-0.0111223,-0.000617654,0.0257815,-0.00289675,-0.00549652,0.0172557,0.0326422,-0.0125187,-0.0152034,0.00957626,0.00110059,0.0421181,-0.031755,-0.0193721,-0.0321772,0.0151141,-0.000497087,0.0160487,0.00137037,-0.00435443,0.00891676,-0.00195165,0.00629491,-0.000704453,0.0185578,-4.5949e-05,0.0095612,-0.00609614,0.0051729,0.0294572,0.0235425,-0.00146038,0.0132118,0.0220212,0.00156112,0.0198845,-0.00582937,0.00215896,-0.0230806,-0.002139,0.0218369,0.0343367,
0.035,0.0363986,0.0272763,-0.0151931,-0.0103523,0.0168062,0.0197096,0.0194573,0.0311882,-0.0133147,-0.00986797,0.0295443,0.0055704,-0.00693131,0.020829,0.0404044,-0.0139377,-0.0171057,0.0123148,0.00068649,0.0481503,-0.0327834,-0.0259895,-0.0415377,0.0183999,-0.00136468,0.0186647,0.0003145,-0.00541056,0.0122672,0.000252833,0.011494,-0.00150818,0.0222502,-0.000411753,0.0102603,-0.00744387,0.00789609,0.0263676,0.0270503,-0.00384758,0.0151868,0.0265408,0.00107085,0.023536,-0.00581029,0.00239138,-0.0266274,-0.00285071,0.0256061,0.0383133,
0.04,0.0399255,0.0257031,-0.0189199,-0.0136826,0.0186375,0.0204371,0.021505,0.0352571,-0.0155006,-0.0124002,0.0333096,0.0058125,0.00100434,0.0244021,0.0434803,-0.0153384,-0.0190153,0.00659552,0.000291749,0.0541902,-0.0348254,-0.0276893,-0.04901,0.0192017,-0.00118009,0.0217561,-0.000497577,-0.00646734,0.0137865,-0.000719141,0.0135013,-0.000847121,0.0259418,-0.00564315,0.0109644,-0.00945502,0.00955932,0.0298316,0.0315449,-0.00412042,0.0205652,0.0310613,0.000580249,0.0280638,-0.00579528,0.00261077,-0.030185,-0.00605143,0.0560899,0.0560355,
0.045,0.0441454,0.0283895,-0.0191888,-0.0155685,0.020689,0.0236491,0.0268271,0.0392705,-0.0120368,-0.0149318,0.0370765,0.00605683,0.000698518,0.0286042,0.0464337,-0.0118989,-0.0209305,0.00827137,-0.0146622,0.0602366,-0.036865,-0.0350782,-0.0599593,0.0215246,-0.000817741,0.024621,-0.00109311,-0.0132969,0.0126938,-0.00169006,0.0155101,-0.00113026,0.0296324,-0.00648265,0.0183305,-0.0113204,0.0158062,0.0333245,0.0358052,-0.00439402,0.0230614,0.0337204,8.95085e-05,0.0317812,0.00272489,0.00282142,-0.0469122,-0.00726955,0.0628537,0.0619907,
0.05,0.0487513,0.031078,-0.0225794,-0.0174554,0.0227575,0.0268558,0.0294756,0.0433005,-0.0139294,-0.0174622,0.0470838,0.0124873,0.000389647,0.031825,0.0493236,-0.0128725,-0.0258499,0.0099439,-0.0169064,0.0669886,-0.0353317,-0.0396212,-0.0677217,0.0229007,-0.000457489,0.0282708,-0.00590904,-0.0215783,0.0138553,-0.00266029,0.0175199,-0.00139659,0.032424,-0.00732171,0.019756,-0.0201413,0.0179123,0.0368285,0.0400331,-0.00466813,0.0255571,0.037976,-0.00121104,0.0354964,0.00360648,0.00302573,-0.0522101,-0.0084868,0.079363,0.0679539,
